"layer","category","subcategory"
"po_chemical","ecological","pollution"
"po_pathogen","ecological","pollution"
"po_pathogens_fan","ecological","pollution"
"po_nutrients_3nm","ecological","pollution"
"po_trash","ecological","pollution"
"sp_exhaust","ecological","alien_species"
"hd_coastal","ecological","habitat_destruction"
"hd_marine","ecological","habitat_destruction"
"fp_ilegal","ecological","fishing_pressure"
"fp_unstt","ecological","fishing_pressure"
"cc_sst","ecological","climate_change"
"cc_acid","ecological","climate_change"
"cc_slr","ecological","climate_change"
"ss_wgi","social","social"
"hd_density","ecological","habitat_destruction"
"hd_traffic","ecological","habitat_destruction"
