" ","score","status","future","trend","pressures","resilience"
"Index",71.71,,74.85,,,
"Food Provision",25.37,22.38,28.36,0.05,,
". Fisheries",12.14,11,13.29,0.01,18.47,79.52
". Mariculture",66.45,57.73,75.17,0.16,15.26,74.33
"Artisanal Fishing Opportunity",77.02,69.32,84.71,0.01,16.75,81.01
"Natural Products",24.47,22.86,26.08,-0.12,14.44,81.96
"Carbon Storage",,,,,16.27,86.85
"Coastal Protection",,,,,18.8,86.85
"Tourism & Recreation",100,100,100,0,40.55,86.85
"Coastal Livelihoods & Economies",100,100,100,0.79,,
". Livelihoods",100,100,100,0.58,18.64,64.89
". Economies",100,100,100,1,17.71,69.78
"Sense of Place",82.32,81.54,83.09,-0.11,,
". Iconic Species",64.63,63.08,66.19,-0.22,20.16,80.22
". Lasting Special Places",100,100,100,0,29.04,86.85
"Clean Waters",78.22,70.83,85.61,0.16,56.2,86.85
"Biodiversity",86.26,81.53,90.98,-0.13,,
". Habitats",90.24,84.01,96.47,-0.09,17.82,80.5
". Species",82.27,79.05,85.49,-0.18,23.75,84.14
