" ","score","status","future","trend","pressures","resilience"
"Index",75.6,,78.99,,,
"Food Provision",26.99,24.3,29.68,0.02,,
". Fisheries",35.54,32,39.08,0.03,18.52,79.52
". Mariculture",0.43,0.39,0.47,0,15.26,74.33
"Artisanal Fishing Opportunity",77.01,69.32,84.69,0.01,16.82,81.01
"Natural Products",53.99,50.07,57.92,-0.1,14.46,81.96
"Carbon Storage",,,,,16.48,86.85
"Coastal Protection",,,,,18.8,86.85
"Tourism & Recreation",100,100,100,0,40.55,86.85
"Coastal Livelihoods & Economies",100,100,100,1,,
". Livelihoods",,,,,18.65,64.89
". Economies",100,100,100,1,17.72,69.78
"Sense of Place",82.31,81.54,83.08,-0.11,,
". Iconic Species",64.61,63.08,66.15,-0.22,20.33,80.22
". Lasting Special Places",100,100,100,0,29.25,86.85
"Clean Waters",78.22,70.83,85.61,0.16,56.2,86.85
"Biodiversity",86.25,81.53,90.97,-0.13,,
". Habitats",90.24,84.01,96.47,-0.09,17.82,80.5
". Species",82.26,79.05,85.47,-0.18,23.85,84.14
