"rgn_id","sciname","popn_trend"
2,"Alopias vulpinus","Decreasing"
11,"Alopias vulpinus","Decreasing"
4,"Alopias vulpinus","Decreasing"
9,"Alopias vulpinus","Decreasing"
5,"Alopias vulpinus","Decreasing"
8,"Alopias vulpinus","Decreasing"
7,"Alopias vulpinus","Decreasing"
3,"Alopias vulpinus","Decreasing"
1,"Alopias vulpinus","Decreasing"
6,"Alopias vulpinus","Decreasing"
12,"Alopias vulpinus","Decreasing"
10,"Alopias vulpinus","Decreasing"
2,"Balaenoptera acutorostrata","Stable"
11,"Balaenoptera acutorostrata","Stable"
4,"Balaenoptera acutorostrata","Stable"
9,"Balaenoptera acutorostrata","Stable"
5,"Balaenoptera acutorostrata","Stable"
8,"Balaenoptera acutorostrata","Stable"
7,"Balaenoptera acutorostrata","Stable"
3,"Balaenoptera acutorostrata","Stable"
1,"Balaenoptera acutorostrata","Stable"
6,"Balaenoptera acutorostrata","Stable"
12,"Balaenoptera acutorostrata","Stable"
10,"Balaenoptera acutorostrata","Stable"
2,"Balaenoptera borealis","Unknown"
11,"Balaenoptera borealis","Unknown"
4,"Balaenoptera borealis","Unknown"
9,"Balaenoptera borealis","Unknown"
5,"Balaenoptera borealis","Unknown"
8,"Balaenoptera borealis","Unknown"
7,"Balaenoptera borealis","Unknown"
3,"Balaenoptera borealis","Unknown"
1,"Balaenoptera borealis","Unknown"
6,"Balaenoptera borealis","Unknown"
12,"Balaenoptera borealis","Unknown"
10,"Balaenoptera borealis","Unknown"
2,"Balaenoptera musculus","Increasing"
11,"Balaenoptera musculus","Increasing"
4,"Balaenoptera musculus","Increasing"
9,"Balaenoptera musculus","Increasing"
5,"Balaenoptera musculus","Increasing"
8,"Balaenoptera musculus","Increasing"
7,"Balaenoptera musculus","Increasing"
3,"Balaenoptera musculus","Increasing"
1,"Balaenoptera musculus","Increasing"
6,"Balaenoptera musculus","Increasing"
12,"Balaenoptera musculus","Increasing"
10,"Balaenoptera musculus","Increasing"
2,"Balaenoptera physalus","Unknown"
11,"Balaenoptera physalus","Unknown"
4,"Balaenoptera physalus","Unknown"
9,"Balaenoptera physalus","Unknown"
5,"Balaenoptera physalus","Unknown"
8,"Balaenoptera physalus","Unknown"
7,"Balaenoptera physalus","Unknown"
3,"Balaenoptera physalus","Unknown"
1,"Balaenoptera physalus","Unknown"
6,"Balaenoptera physalus","Unknown"
12,"Balaenoptera physalus","Unknown"
10,"Balaenoptera physalus","Unknown"
2,"Carcharodon carcharias","Unknown"
11,"Carcharodon carcharias","Unknown"
4,"Carcharodon carcharias","Unknown"
9,"Carcharodon carcharias","Unknown"
5,"Carcharodon carcharias","Unknown"
8,"Carcharodon carcharias","Unknown"
7,"Carcharodon carcharias","Unknown"
3,"Carcharodon carcharias","Unknown"
1,"Carcharodon carcharias","Unknown"
6,"Carcharodon carcharias","Unknown"
12,"Carcharodon carcharias","Unknown"
10,"Carcharodon carcharias","Unknown"
2,"Cetorhinus maximus","Decreasing"
11,"Cetorhinus maximus","Decreasing"
4,"Cetorhinus maximus","Decreasing"
9,"Cetorhinus maximus","Decreasing"
5,"Cetorhinus maximus","Decreasing"
8,"Cetorhinus maximus","Decreasing"
7,"Cetorhinus maximus","Decreasing"
3,"Cetorhinus maximus","Decreasing"
1,"Cetorhinus maximus","Decreasing"
6,"Cetorhinus maximus","Decreasing"
12,"Cetorhinus maximus","Decreasing"
10,"Cetorhinus maximus","Decreasing"
2,"Isurus oxyrinchus","Decreasing"
11,"Isurus oxyrinchus","Decreasing"
4,"Isurus oxyrinchus","Decreasing"
9,"Isurus oxyrinchus","Decreasing"
5,"Isurus oxyrinchus","Decreasing"
8,"Isurus oxyrinchus","Decreasing"
7,"Isurus oxyrinchus","Decreasing"
3,"Isurus oxyrinchus","Decreasing"
1,"Isurus oxyrinchus","Decreasing"
6,"Isurus oxyrinchus","Decreasing"
12,"Isurus oxyrinchus","Decreasing"
10,"Isurus oxyrinchus","Decreasing"
2,"Lamna nasus","Decreasing"
11,"Lamna nasus","Decreasing"
4,"Lamna nasus","Decreasing"
9,"Lamna nasus","Decreasing"
5,"Lamna nasus","Decreasing"
8,"Lamna nasus","Decreasing"
7,"Lamna nasus","Decreasing"
3,"Lamna nasus","Decreasing"
1,"Lamna nasus","Decreasing"
6,"Lamna nasus","Decreasing"
12,"Lamna nasus","Decreasing"
10,"Lamna nasus","Decreasing"
2,"Lepidochelys olivacea","Decreasing"
11,"Lepidochelys olivacea","Decreasing"
4,"Lepidochelys olivacea","Decreasing"
9,"Lepidochelys olivacea","Decreasing"
5,"Lepidochelys olivacea","Decreasing"
8,"Lepidochelys olivacea","Decreasing"
7,"Lepidochelys olivacea","Decreasing"
3,"Lepidochelys olivacea","Decreasing"
1,"Lepidochelys olivacea","Decreasing"
6,"Lepidochelys olivacea","Decreasing"
12,"Lepidochelys olivacea","Decreasing"
10,"Lepidochelys olivacea","Decreasing"
2,"Megaptera novaeangliae","Increasing"
11,"Megaptera novaeangliae","Increasing"
4,"Megaptera novaeangliae","Increasing"
9,"Megaptera novaeangliae","Increasing"
5,"Megaptera novaeangliae","Increasing"
8,"Megaptera novaeangliae","Increasing"
7,"Megaptera novaeangliae","Increasing"
3,"Megaptera novaeangliae","Increasing"
1,"Megaptera novaeangliae","Increasing"
6,"Megaptera novaeangliae","Increasing"
12,"Megaptera novaeangliae","Increasing"
10,"Megaptera novaeangliae","Increasing"
2,"Prionace glauca","Unknown"
11,"Prionace glauca","Unknown"
4,"Prionace glauca","Unknown"
9,"Prionace glauca","Unknown"
5,"Prionace glauca","Unknown"
8,"Prionace glauca","Unknown"
7,"Prionace glauca","Unknown"
3,"Prionace glauca","Unknown"
1,"Prionace glauca","Unknown"
6,"Prionace glauca","Unknown"
12,"Prionace glauca","Unknown"
10,"Prionace glauca","Unknown"
2,"Rhincodon typus","Decreasing"
11,"Rhincodon typus","Decreasing"
4,"Rhincodon typus","Decreasing"
9,"Rhincodon typus","Decreasing"
5,"Rhincodon typus","Decreasing"
8,"Rhincodon typus","Decreasing"
7,"Rhincodon typus","Decreasing"
3,"Rhincodon typus","Decreasing"
1,"Rhincodon typus","Decreasing"
6,"Rhincodon typus","Decreasing"
12,"Rhincodon typus","Decreasing"
10,"Rhincodon typus","Decreasing"
