" ","score","status","future","trend","pressures","resilience"
"Index",74.04,,77.18,,,
"Food Provision",4.74,4.3,5.18,0,,
". Fisheries",3.3,3,3.6,0,18.46,79.52
". Mariculture",9.21,8.34,10.08,0.02,15.26,74.33
"Artisanal Fishing Opportunity",77.02,69.32,84.71,0.01,16.74,81.01
"Natural Products",63.76,59.65,67.88,-0.13,14.44,81.96
"Carbon Storage",,,,,16.24,86.85
"Coastal Protection",,,,,18.8,86.85
"Tourism & Recreation",100,100,100,0,40.55,86.85
"Coastal Livelihoods & Economies",100,100,100,0.79,,
". Livelihoods",100,100,100,0.58,18.64,64.89
". Economies",100,100,100,1,17.71,69.78
"Sense of Place",82.32,81.54,83.09,-0.11,,
". Iconic Species",64.63,63.08,66.19,-0.22,20.15,80.22
". Lasting Special Places",100,100,100,0,29.02,86.85
"Clean Waters",78.22,70.83,85.61,0.16,56.2,86.85
"Biodiversity",86.26,81.53,90.98,-0.13,,
". Habitats",90.24,84.01,96.47,-0.09,17.82,80.5
". Species",82.27,79.05,85.5,-0.18,23.74,84.14
