" ","score","status","future","trend","pressures","resilience"
"Index",71.7,,74.68,,,
"Food Provision",4.03,3.66,4.4,0,,
". Fisheries",4.4,4,4.81,0,18.49,79.52
". Mariculture",2.86,2.6,3.12,0.01,15.26,74.33
"Artisanal Fishing Opportunity",77.01,69.32,84.7,0.01,16.79,81.01
"Natural Products",45.74,42.82,48.67,-0.13,14.45,81.96
"Carbon Storage",,,,,16.38,86.85
"Coastal Protection",,,,,18.8,86.85
"Tourism & Recreation",100,100,100,0,40.55,86.85
"Coastal Livelihoods & Economies",100,100,100,0.79,,
". Livelihoods",100,100,100,0.58,18.64,64.89
". Economies",100,100,100,1,17.71,69.78
"Sense of Place",82.31,81.54,83.08,-0.11,,
". Iconic Species",64.62,63.08,66.17,-0.22,20.25,80.22
". Lasting Special Places",100,100,100,0,29.15,86.85
"Clean Waters",78.22,70.83,85.61,0.16,56.2,86.85
"Biodiversity",86.25,81.53,90.98,-0.13,,
". Habitats",90.24,84.01,96.47,-0.09,17.82,80.5
". Species",82.27,79.05,85.48,-0.18,23.8,84.14
