" ","score","status","future","trend","pressures","resilience"
"Index",73.63,,76.73,,,
"Food Provision",2.62,2.38,2.85,0,,
". Fisheries",3.3,3,3.6,0,18.51,79.52
". Mariculture",0.48,0.44,0.53,0,15.26,74.33
"Artisanal Fishing Opportunity",77.01,69.32,84.69,0.01,16.8,81.01
"Natural Products",62.62,58.59,66.65,-0.13,14.46,81.96
"Carbon Storage",,,,,16.43,86.85
"Coastal Protection",,,,,18.8,86.85
"Tourism & Recreation",100,100,100,0,40.55,86.85
"Coastal Livelihoods & Economies",100,100,100,0.79,,
". Livelihoods",100,100,100,0.58,18.65,64.89
". Economies",100,100,100,1,17.72,69.78
"Sense of Place",82.31,81.54,83.08,-0.11,,
". Iconic Species",64.62,63.08,66.16,-0.22,20.29,80.22
". Lasting Special Places",100,100,100,0,29.2,86.85
"Clean Waters",78.22,70.83,85.61,0.16,56.2,86.85
"Biodiversity",86.25,81.53,90.97,-0.13,,
". Habitats",90.24,84.01,96.47,-0.09,17.82,80.5
". Species",82.26,79.05,85.47,-0.18,23.83,84.14
